Q184485|performing arts
Q30168244|human hybrids in a work of fiction
Q2369882|funny animal
Q904092|homopolysaccharide
Q4373292|physical property
Q3689421|destination marketing organisation
Q112865|administrative territorial entity of Mexico
Q273976|blockade
Q15042037|statistical territorial entity
Q10968259|stipend
Q34315358|demon in a work of fiction
Q7889|video game
Q57659484|exhibition hall
Q131257|intellectual property
Q94920|Jewish holiday
Q602884|social phenomenon
Q317623|technical standard
Q2618461|legislative election
Q3775643|comburent
Q47848|sacred architecture
Q844569|identity
Q697196|ocean liner
Q19829125|absence
Q871419|district of Austria
Q2393196|personality trait
Q1428923|profinite group
Q1076099|school library
Q712378|organ
Q2755101|General anaesthetic
Q1048835|political territorial entity
Q1327300|electronic journal
Q16547029|single-sex school
Q37147|atomic nucleus
Q11446|ship
Q188593|cepheid variable
Q7874246|Coxeter group
Q19832479|vessel class
Q2085381|publisher
Q11410|game
Q16722960|phenomenon
Q1424047|offense against personal freedom
Q6752310|manual communication
Q210932|airliner
Q182832|concert
Q6592|trans-Neptunian object
Q19832712|historical administrative division
Q1283519|field experiment
Q14524493|terrain
Q2074737|municipality of Spain
Q7257|ideology
Q15275719|recurring event
Q28920044|positive integer
Q1632297|protected name
Q517386|live action
Q11197|logarithm
Q953806|bus stop
Q42262353|Y-DNA haplogroup
Q2199|dwarf planet
Q318|galaxy
Q1543677|Web conferencing
Q35509|cave
Q60442637|rapid transit train service
Q23729754|scientific name, published under a Code of nomenclature
Q1755242|nilpotent group
Q149621|district
Q3176558|positive real number
Q968159|art movement
Q160742|abbey
Q2366457|department
Q50556809|church element
Q55915575|scholarly work
Q179076|exchange
Q13417200|carbonated beverage
Q905511|secondary source
Q6498903|supervillain
Q2145290|mental representation
Q14897293|fictional entity
Q105210|universal law
Q16338046|fictional river
Q717478|administrative territorial entity of the United Kingdom
Q895526|organ
Q10827272|ayuntamiento
Q30249972|object of the inner Solar System
Q15831440|political studies
Q210980|virtual community
Q5500964|freely redistributable software
Q2493|data compression
Q3243461|collector
Q12321|palindrome
Q2143825|hiking trail
Q16029504|vertical structural element
Q4830453|business
Q1307329|extraterrestrials in fiction
Q4204491|administrative territorial entity of the Soviet Union
Q1146001|light source
Q2311958|canton
Q44167|engine
Q7512598|sign system
Q2692116|quake
Q11796413|decoration
Q2267856|personal testimonial
Q190438|dwarf galaxy
Q2647467|non-alcoholic beverage
Q8142|currency
Q22645|smartphone
Q89522629|poetic form
Q17125668|self-proclaimed
Q24335044|Norse mythical entity
Q391009|Catholic religious order
Q81672|murder attempt
Q235557|file format
Q25510|Accipitridae
Q71377943|sulfur molecular entity
Q206592|aircraft with jet engines
Q7257461|Public License
Q6256|country
Q1985622|defense
Q20978643|point of view
