Type	Depth	Parent
dbo:BasketballLeague	4	dbo:SportsLeague
dbo:NaturalEvent	2	dbo:Event
dbo:Province	6	dbo:GovernmentalAdministrativeRegion
dbo:LunarCrater	4	dbo:Crater
dbo:MotorsportSeason	2	dbo:SportsSeason
dbo:MilitaryPerson	3	dbo:Person
dbo:TimePeriod	1	owl:Thing
dbo:AutomobileEngine	3	dbo:Engine
dbo:Archeologist	3	dbo:Person
dbo:Enzyme	2	dbo:Biomolecule
dbo:SongWriter	4	dbo:Writer
dbo:Square	3	dbo:ArchitecturalStructure
dbo:University	4	dbo:EducationalInstitution
dbo:AnatomicalStructure	1	owl:Thing
dbo:TelevisionShow	2	dbo:Work
dbo:LaunchPad	4	dbo:Infrastructure
dbo:CyclingLeague	4	dbo:SportsLeague
dbo:Territory	3	dbo:PopulatedPlace
dbo:CurlingLeague	4	dbo:SportsLeague
dbo:GatedCommunity	3	dbo:PopulatedPlace
dbo:MusicFestival	3	dbo:SocietalEvent
dbo:Tax	2	dbo:TopicalConcept
dbo:Racecourse	5	dbo:RaceTrack
dbo:Dancer	4	dbo:Artist
dbo:IceHockeyPlayer	5	dbo:WinterSportPlayer
dbo:PublicTransitSystem	3	dbo:Organisation
dbo:BloodVessel	2	dbo:AnatomicalStructure
dbo:FootballMatch	4	dbo:SportsEvent
dbo:MouseGeneLocation	2	dbo:GeneLocation
dbo:MilitaryConflict	3	dbo:SocietalEvent
dbo:StatedResolution	3	dbo:WrittenWork
dbo:Tram	2	dbo:MeanOfTransportation
dbo:FilmFestival	3	dbo:SocietalEvent
dbo:TheatreDirector	3	dbo:Person
dbo:Beverage	2	dbo:Food
dbo:SpaceShuttle	2	dbo:MeanOfTransportation
dbo:EmployersOrganisation	3	dbo:Organisation
dbo:Prison	4	dbo:Building
dbo:Archaea	2	dbo:Species
dbo:HandballPlayer	4	dbo:Athlete
dbo:Religious	3	dbo:Person
dbo:Arachnid	4	dbo:Animal
dbo:Department	6	dbo:GovernmentalAdministrativeRegion
dbo:CardinalDirection	2	dbo:TopicalConcept
dbo:Painter	4	dbo:Artist
dbo:LineOfFashion	2	dbo:Work
dbo:Park	2	dbo:Place
dbo:CyclingTeam	4	dbo:SportsTeam
dbo:GrossDomesticProduct	1	owl:Thing
dbo:WaterRide	4	dbo:AmusementParkAttraction
dbo:MilitaryVehicle	2	dbo:MeanOfTransportation
dbo:ArtisticGenre	3	dbo:Genre
dbo:SportsSeason	1	owl:Thing
dbo:Cricketer	4	dbo:Athlete
dbo:FloweringPlant	4	dbo:Plant
dbo:TelevisionEpisode	2	dbo:Work
dbo:Baronet	5	dbo:BritishRoyalty
dbo:Canton	6	dbo:GovernmentalAdministrativeRegion
dbo:Gnetophytes	4	dbo:Plant
dbo:Jockey	4	dbo:Athlete
dbo:ScientificConcept	2	dbo:TopicalConcept
dbo:Soccer	4	dbo:TeamSport
dbo:SportCompetitionResult	1	owl:Thing
dbo:Tower	3	dbo:ArchitecturalStructure
dbo:Protein	2	dbo:Biomolecule
dbo:HumanGeneLocation	2	dbo:GeneLocation
dbo:SpeedwayTeam	4	dbo:SportsTeam
dbo:ChristianPatriarch	4	dbo:Cleric
dbo:GovernmentType	3	dbo:Type
dbo:Town	4	dbo:Settlement
dbo:RomanEmperor	3	dbo:Person
dbo:ReligiousBuilding	4	dbo:Building
dbo:MotorcycleRider	5	dbo:MotorsportRacer
dbo:ClericalAdministrativeRegion	5	dbo:AdministrativeRegion
dbo:BusCompany	4	dbo:Company
dbo:PowerStation	4	dbo:Infrastructure
dbo:Engineer	3	dbo:Person
dbo:Birth	4	dbo:PersonalEvent
dbo:Name	1	owl:Thing
dbo:SumoWrestler	5	dbo:Wrestler
dbo:InternationalOrganisation	3	dbo:Organisation
dbo:HighDiver	4	dbo:Athlete
dbo:FormulaOneRacer	6	dbo:RacingDriver
dbo:Conifer	4	dbo:Plant
dbo:SpeedwayLeague	4	dbo:SportsLeague
dbo:Instrumentalist	5	dbo:MusicalArtist
dbo:Farmer	3	dbo:Person
dbo:HistoricalSettlement	4	dbo:Settlement
dbo:VideogamesLeague	4	dbo:SportsLeague
dbo:CricketGround	4	dbo:SportFacility
dbo:DTMRacer	6	dbo:RacingDriver
dbo:HistoricalDistrict	7	dbo:District
dbo:Company	3	dbo:Organisation
dbo:Locomotive	2	dbo:MeanOfTransportation
dbo:MotocycleRacer	6	dbo:MotorcycleRider
dbo:Wrestler	4	dbo:Athlete
dbo:GolfTournament	5	dbo:Tournament
dbo:Treaty	3	dbo:WrittenWork
dbo:MotorcycleRacingLeague	4	dbo:SportsLeague
dbo:Sales	2	dbo:Activity
dbo:AdultActor	5	dbo:Actor
dbo:GridironFootballPlayer	4	dbo:Athlete
dbo:Engine	2	dbo:Device
dbo:ChristianDoctrine	3	dbo:TheologicalConcept
dbo:Area	1	owl:Thing
dbo:NationalAnthem	3	dbo:MusicalWork
dbo:SoccerLeague	4	dbo:SportsLeague
dbo:AcademicConference	3	dbo:SocietalEvent
dbo:Biathlete	5	dbo:WinterSportPlayer
dbo:Rebellion	3	dbo:SocietalEvent
dbo:TeamMember	4	dbo:Athlete
dbo:GeneLocation	1	owl:Thing
dbo:RoadJunction	5	dbo:RouteOfTransportation
dbo:Treadmill	4	dbo:Mill
dbo:Brain	2	dbo:AnatomicalStructure
dbo:ProtohistoricalPeriod	2	dbo:TimePeriod
dbo:WomensTennisAssociationTournament	5	dbo:Tournament
dbo:BusinessPerson	3	dbo:Person
dbo:Lipid	2	dbo:Biomolecule
dbo:VolleyballCoach	4	dbo:Coach
dbo:TheologicalConcept	2	dbo:TopicalConcept
dbo:Settlement	3	dbo:PopulatedPlace
dbo:Capital	5	dbo:City
dbo:Producer	3	dbo:Person
dbo:Software	2	dbo:Work
dbo:Opera	3	dbo:MusicalWork
dbo:LacrossePlayer	4	dbo:Athlete
dbo:ControlledDesignationOfOriginWine	4	dbo:Wine
dbo:Fort	4	dbo:MilitaryStructure
dbo:President	4	dbo:Politician
dbo:RacingDriver	5	dbo:MotorsportRacer
dbo:ArchitecturalStructure	2	dbo:Place
dbo:TennisPlayer	4	dbo:Athlete
